rating_user_id,movieId,rating,predicted
432,77866,4.5,3.197779931
288,474,3,3.601778428
599,4351,3,3.063428578
42,2987,4,3.739205265
75,1610,4,3.873847082
51,177,4,2.856412693
354,51662,3.5,3.695370737
416,750,4.5,3.346846899
438,6503,0.5,2.535220345
73,8641,3.5,3.767940896
567,1203,4.5,3.460820757
391,1179,4,3.660929976
380,111362,5,4.026782307
305,55276,5,4.272214043
409,3868,4,3.462606367
307,6957,3.5,3.432676554
274,26736,4.5,
125,6952,3,2.766991877
561,1278,3.5,3.916777744
68,6953,2.5,3.322192949
525,50872,3.5,3.839577289
414,3847,2,
6,587,5,3.714732376
601,48394,4,4.238398106
325,32,4,3.949117188
82,5065,3,3.29989531
16,204,2,2.619249382
542,4816,1.5,3.386486275
32,39,3,3.186049837
140,2682,4,4
182,5643,3,3.64134294
89,42761,4.5,
359,541,1.5,3.57139141
183,1408,4,4.020681409
111,119155,3.5,3.532633194
80,2513,4,2.201056515
448,117590,2,3.606124797
514,1258,4,4.093951621
68,1101,3.5,3.076154625
325,80,4,4
509,1588,3.5,3.220074403
131,31,3,2.720312523
45,2355,5,3.913899651
156,3167,3,3.521399488
440,1199,4.5,4.165396307
312,5065,3,2.890976188
57,2102,4,1
603,2020,4,3.914180028
337,778,4,4.022466922
116,356,4,4.195268596
122,63113,4.5,4.142000722
201,185,3,3.698461621
167,318,5,4.290463821
139,60072,1.5,2.984142792
68,628,3.5,3.555052404
16,293,4,3.79123773
448,99992,3,
450,1073,4,4.278395179
178,380,4,3.559735857
599,59369,2.5,3.492682738
581,4226,4.5,4.281499602
215,1347,0.5,3.050189176
610,4228,3,1.93998336
81,288,3,2.751338459
414,2120,2,2
340,185,3,3.858663861
323,111443,2.5,
232,586,3,3.019079632
186,3740,3,4.193245616
28,1245,3.5,3.914319316
195,4067,4,2.981846356
414,86190,4,3.220066344
596,141131,2.5,
561,1394,4,4.184719716
602,448,3,3.465249682
202,2983,4,
195,553,4,3.834458476
200,44761,5,3.643601699
387,5296,1.5,2.930638333
514,104841,3,3.603398892
